title,year,author
The Hobbit,1937,J.R.R. Tolkien
Harry Potter and the Sorcerer's Stone,1997,J.K. Rowling
Inferno,2013,Dan Brown
The Great Gatsby,1925,F. Scott Fitzgerald
To Kill a Mockingbird,1960,Harper Lee
1984,1949,George Orwell
Pride and Prejudice,1813,Jane Austen
The Catcher in the Rye,1951,J.D. Salinger
The Da Vinci Code,2003,Dan Brown
The Lord of the Rings,1954,J.R.R. Tolkien
Book Title 11,2000,Author 1
Book Title 12,2001,Author 2
Book Title 13,2002,Author 3
Book Title 14,2003,Author 4
Book Title 15,2004,Author 5
Book Title 16,2005,Author 6
Book Title 17,2006,Author 7
Book Title 18,2007,Author 8
Book Title 19,2008,Author 9
Book Title 20,2009,Author 10
Book Title 21,2010,Author 11
Book Title 22,2011,Author 12
Book Title 23,2012,Author 13
Book Title 24,2013,Author 14
Book Title 25,2014,Author 15
Book Title 26,2015,Author 16
Book Title 27,2016,Author 17
Book Title 28,2017,Author 18
Book Title 29,2018,Author 19
Book Title 30,2019,Author 20
Book Title 31,2020,Author 21
Book Title 32,2021,Author 22
Book Title 33,2022,Author 23
Book Title 34,2023,Author 24
Book Title 35,1990,Author 25
Book Title 36,1991,Author 26
Book Title 37,1992,Author 27
Book Title 38,1993,Author 28
Book Title 39,1994,Author 29
Book Title 40,1995,Author 30
Book Title 41,1996,Author 31
Book Title 42,1997,Author 32
Book Title 43,1998,Author 33
Book Title 44,1999,Author 34
Book Title 45,2000,Author 35
Book Title 46,2001,Author 36
Book Title 47,2002,Author 37
Book Title 48,2003,Author 38
Book Title 49,2004,Author 39
Book Title 50,2005,Author 40
Book Title 51,2006,Author 41
Book Title 52,2007,Author 42
Book Title 53,2008,Author 43
Book Title 54,2009,Author 44
Book Title 55,2010,Author 45
Book Title 56,2011,Author 46
Book Title 57,2012,Author 47
Book Title 58,2013,Author 48
Book Title 59,2014,Author 49
Book Title 60,2015,Author 50
Book Title 61,2016,Author 51
Book Title 62,2017,Author 52
Book Title 63,2018,Author 53
Book Title 64,2019,Author 54
Book Title 65,2020,Author 55
Book Title 66,2021,Author 56
Book Title 67,2022,Author 57
Book Title 68,2023,Author 58
Book Title 69,1990,Author 59
Book Title 70,1991,Author 60
Book Title 71,1992,Author 61
Book Title 72,1993,Author 62
Book Title 73,1994,Author 63
Book Title 74,1995,Author 64
Book Title 75,1996,Author 65
Book Title 76,1997,Author 66
Book Title 77,1998,Author 67
Book Title 78,1999,Author 68
Book Title 79,2000,Author 69
Book Title 80,2001,Author 70
Book Title 81,2002,Author 71
Book Title 82,2003,Author 72
Book Title 83,2004,Author 73
Book Title 84,2005,Author 74
Book Title 85,2006,Author 75
Book Title 86,2007,Author 76
Book Title 87,2008,Author 77
Book Title 88,2009,Author 78
Book Title 89,2010,Author 79
Book Title 90,2011,Author 80
Book Title 91,2012,Author 81
Book Title 92,2013,Author 82
Book Title 93,2014,Author 83
Book Title 94,2015,Author 84
Book Title 95,2016,Author 85
Book Title 96,2017,Author 86
Book Title 97,2018,Author 87
Book Title 98,2019,Author 88
Book Title 99,2020,Author 89
Book Title 100,2021,Author 90
Book Title 101,2022,Author 91
Book Title 102,2023,Author 92
Book Title 103,1990,Author 93
Book Title 104,1991,Author 94
Book Title 105,1992,Author 95
Book Title 106,1993,Author 96
Book Title 107,1994,Author 97
Book Title 108,1995,Author 98
Book Title 109,1996,Author 99
Book Title 110,1997,Author 100
Book Title 111,1998,Author 101
Book Title 112,1999,Author 102
Book Title 113,2000,Author 103
Book Title 114,2001,Author 104
Book Title 115,2002,Author 105
Book Title 116,2003,Author 106
Book Title 117,2004,Author 107
Book Title 118,2005,Author 108
Book Title 119,2006,Author 109
Book Title 120,2007,Author 110
Book Title 121,2008,Author 111
Book Title 122,2009,Author 112
Book Title 123,2010,Author 113
Book Title 124,2011,Author 114
Book Title 125,2012,Author 115
Book Title 126,2013,Author 116
Book Title 127,2014,Author 117
Book Title 128,2015,Author 118
Book Title 129,2016,Author 119
Book Title 130,2017,Author 120
